category_name,items_sold,orders_count,distinct_products,item_revenue,freight_revenue,gross_revenue,avg_item_value
health_beauty,9670,8836,2444,1258681.34,182566.73,1441248.07,149.04
watches_gifts,5991,5624,1329,1205005.68,100535.93,1305541.61,217.92
bed_bath_table,11115,9417,3029,1036988.68,204693.04,1241681.72,111.71
sports_leisure,8641,7720,2867,988048.97,168607.51,1156656.48,133.86
computers_accessories,7827,6689,1639,911954.32,147318.08,1059272.40,135.34
furniture_decor,8334,6449,2657,729762.49,172749.30,902511.79,108.29
housewares,6964,5884,2335,632248.66,146149.11,778397.77,111.77
cool_stuff,3796,3632,789,635290.85,84039.10,719329.95,189.50
auto,4235,3897,1900,592720.11,92664.21,685384.32,161.84
garden_tools,4347,3518,753,485256.46,98962.75,584219.21,134.40
toys,4117,3886,1411,483946.60,77425.95,561372.55,136.35
baby,3065,2885,919,411764.89,68353.11,480118.00,156.65
perfumery,3419,3162,868,399124.87,54213.84,453338.71,132.59
telephony,4545,4199,1134,323667.53,71215.79,394883.32,86.88
office_furniture,1691,1273,309,273960.70,68571.95,342532.65,202.56
stationery,2517,2311,849,230943.23,46798.48,277741.71,110.35
pet_shop,1947,1710,719,214315.41,39561.24,253876.65,130.39
computers,203,181,30,222963.13,9836.30,232799.43,1146.80
musical_instruments,680,628,289,191498.88,18638.49,210137.37,309.03
unknown,1603,1451,610,179535.28,28169.81,207705.09,129.57
electronics,2767,2550,517,160246.74,46578.32,206825.06,74.75
small_appliances,679,630,231,190648.58,16020.25,206668.83,304.37
fashion_bags_accessories,2031,1864,849,152823.54,31450.00,184273.54,90.73
consoles_games,1137,1062,317,157465.22,19828.02,177293.24,155.93
luggage_accessories,1092,1034,349,140429.98,30445.23,170875.21,156.48
construction_tools_construction,929,748,400,144677.59,20650.41,165328.00,177.96
home_appliances_2,238,234,90,113317.74,10600.18,123917.92,520.66
home_construction,604,490,225,83088.12,13832.24,96920.36,160.46
home_appliances,771,764,370,80171.53,14818.90,94990.43,123.20
furniture_living_room,503,422,156,68916.56,17968.17,86884.73,172.73
agro_industry_and_commerce,212,182,74,72530.47,5843.60,78374.07,369.69
home_confort,434,397,111,58572.04,8501.23,67073.27,154.55
fixed_telephony,264,217,116,59583.00,4637.81,64220.81,243.26
air_conditioning,297,253,124,55024.96,6749.23,61774.19,207.99
kitchen_dining_laundry_garden_furniture,281,248,94,46328.37,11999.43,58327.80,207.57
audio,364,350,58,50688.50,5710.44,56398.94,154.94
books_general_interest,553,512,216,46856.88,9195.52,56052.40,101.36
small_appliances_home_oven_and_coffee,76,75,31,47445.71,2747.86,50193.57,660.44
construction_tools_lights,304,244,78,41080.00,7583.80,48663.80,160.08
industry_commerce_and_business,268,235,68,39669.61,7884.68,47554.29,177.44
construction_tools_safety,194,167,91,40544.52,3919.10,44463.62,229.19
food,510,450,82,29393.41,7271.03,36664.44,71.89
market_place,311,280,104,28378.47,5456.06,33834.53,108.79
costruction_tools_garden,238,194,88,25715.89,5311.40,31027.29,130.37
fashion_shoes,262,240,173,23562.77,4918.87,28481.64,108.71
art,209,202,55,24202.64,4045.17,28247.81,135.16
drinks,379,297,81,22428.70,5741.25,28169.95,74.33
signaling_and_security,199,140,93,21509.23,6507.82,28017.05,140.79
furniture_bedroom,109,95,45,20028.78,4632.23,24661.01,226.25
books_technical,267,260,123,19096.06,4283.06,23379.12,87.56
food_drink,278,227,104,15179.48,4507.99,19687.47,70.82
costruction_tools_tools,103,97,39,15903.95,2030.22,17934.17,174.12
fashion_male_clothing,132,112,95,10797.82,2152.41,12950.23,98.11
christmas_supplies,153,128,65,8800.82,3229.30,12030.12,78.63
fashion_underwear_beach,131,121,53,9541.55,1916.19,11457.74,87.46
tablets_printing_image,83,79,9,7528.41,1226.20,8754.61,105.48
cine_photo,72,65,28,6933.46,1256.20,8189.66,113.75
dvds_blu_ray,64,59,48,5999.39,1288.74,7288.13,113.88
music,38,38,27,6034.35,690.51,6724.86,176.97
furniture_mattress_and_upholstery,38,38,10,4368.08,1630.46,5998.54,157.86
books_imported,60,53,31,4639.85,769.85,5409.70,90.16
party_supplies,43,39,26,4485.18,827.97,5313.15,123.56
portateis_cozinha_e_preparadores_de_alimentos,15,14,10,3968.53,309.76,4278.29,285.22
fashio_female_clothing,48,39,27,2803.64,621.75,3425.39,71.36
fashion_sport,30,27,19,2119.51,578.13,2697.64,89.92
la_cuisine,14,13,10,2054.99,333.55,2388.54,170.61
arts_and_craftmanship,24,23,19,1814.01,370.13,2184.14,91.01
diapers_and_hygiene,39,27,12,1567.59,573.68,2141.27,54.90
pc_gamer,9,8,3,1545.95,133.57,1679.52,186.61
flowers,33,29,14,1110.04,488.87,1598.91,48.45
home_comfort_2,30,24,5,760.27,410.31,1170.58,39.02
cds_dvds_musicals,14,12,1,730.00,224.99,954.99,68.21
fashion_childrens_clothes,8,8,5,569.85,95.51,665.36,83.17
security_and_services,2,2,2,283.29,41.22,324.51,162.26
