category_name,reviewed_orders,avg_review_score,avg_item_value
bed_bath_table,9313,3.90,111.79
health_beauty,8771,4.14,148.73
sports_leisure,7669,4.11,133.71
computers_accessories,6649,3.93,135.33
furniture_decor,6398,3.90,108.33
housewares,5843,4.06,111.74
watches_gifts,5576,4.02,218.05
telephony,4168,3.95,86.56
auto,3877,4.07,161.13
toys,3853,4.16,136.07
cool_stuff,3599,4.15,189.01
garden_tools,3496,4.04,134.32
perfumery,3150,4.16,132.36
baby,2861,4.01,156.40
electronics,2531,4.04,73.66
stationery,2295,4.19,110.26
fashion_bags_accessories,1854,4.14,90.47
pet_shop,1701,4.19,130.42
unknown,1439,3.84,129.62
office_furniture,1263,3.49,201.83
consoles_games,1052,4.02,155.74
luggage_accessories,1030,4.32,156.40
home_appliances,761,4.17,122.21
construction_tools_construction,743,4.05,177.48
small_appliances,624,4.15,303.75
musical_instruments,622,4.15,307.23
books_general_interest,508,4.45,101.47
home_construction,487,3.94,161.07
food,445,4.22,72.75
furniture_living_room,417,3.90,171.50
home_confort,395,3.83,153.02
audio,347,3.83,155.42
drinks,296,4.05,74.51
market_place,278,4.02,109.18
books_technical,257,4.37,87.58
air_conditioning,249,3.97,208.78
kitchen_dining_laundry_garden_furniture,246,3.96,207.96
construction_tools_lights,241,4.05,161.79
fashion_shoes,236,4.23,108.29
industry_commerce_and_business,233,4.10,178.24
home_appliances_2,232,4.14,520.08
food_drink,226,4.32,70.93
fixed_telephony,214,3.68,242.80
art,200,3.94,135.49
costruction_tools_garden,194,4.05,129.61
agro_industry_and_commerce,182,4.00,369.69
computers,178,4.18,1118.62
construction_tools_safety,166,3.84,230.15
signaling_and_security,138,4.09,141.21
christmas_supplies,126,4.02,75.85
fashion_underwear_beach,120,3.98,87.64
fashion_male_clothing,111,3.64,97.07
furniture_bedroom,95,4.12,227.03
costruction_tools_tools,94,4.44,179.11
tablets_printing_image,77,4.12,95.03
small_appliances_home_oven_and_coffee,75,4.30,660.44
cine_photo,65,4.21,112.51
dvds_blu_ray,58,4.08,115.14
books_imported,53,4.40,90.16
fashio_female_clothing,39,3.78,70.72
party_supplies,39,3.77,123.56
music,38,4.21,176.97
furniture_mattress_and_upholstery,38,3.82,157.86
flowers,28,4.42,46.90
fashion_sport,27,4.26,88.28
diapers_and_hygiene,27,3.26,54.90
arts_and_craftmanship,23,4.13,91.01
home_comfort_2,23,3.63,40.24
portateis_cozinha_e_preparadores_de_alimentos,14,3.27,285.22
cds_dvds_musicals,12,4.64,68.21
la_cuisine,12,4.00,173.19
fashion_childrens_clothes,8,4.50,83.17
pc_gamer,8,3.33,186.61
security_and_services,2,2.50,162.26
